STUDENT_ID,STUDENT_NAME,GENDER,EMAIL
1320,Jessica Padilla,F,donna26@yahoo.com
8159,Wendy Murphy,F,holtdavid@yahoo.com
9596,Anthony Nichols,M,rachelbrown@hotmail.com
962,Joshua Grant,M,ypierce@gmail.com
6422,Dr. Noah Coleman MD,M,mariahwright@yahoo.com
894,Stephanie Hamilton,F,allenmendez@gmail.com
8636,Benjamin Wilcox,M,elliottamanda@hotmail.com
6711,Michael Pena,M,adammaddox@yahoo.com
8445,Anna Baxter,F,agiles@yahoo.com
7453,Andrew Johnson,M,whunter@gmail.com
9695,Benjamin Parks,M,usmith@gmail.com
4289,Heather Mitchell,F,matthew59@yahoo.com
9699,Audrey Bennett,F,slynch@yahoo.com
6677,Yolanda Ali,F,molinajames@yahoo.com
4976,Brandy Lang,F,waynebruce@hotmail.com
4432,Michael Austin,M,yrichards@yahoo.com
6782,Amber Hernandez,F,qparks@yahoo.com
9214,Caroline Wagner,F,amy37@hotmail.com
4144,Dr. Justin Smith,M,thomas60@gmail.com
6249,Ronald Taylor,M,walter25@hotmail.com
2390,Benjamin Flores,M,sperez@gmail.com
4382,Cody Gordon,M,boonepaul@gmail.com
4715,Jimmy Kline,M,stevenvalencia@yahoo.com
1713,Caleb Gallegos,M,tara57@gmail.com
8983,Alexandra Collins,F,simpsonbrittney@yahoo.com
3009,Benjamin Collins,M,brandonmiller@hotmail.com
9707,Shelley Russell,F,moorejohn@gmail.com
5211,Nicholas Stanley,M,nmyers@hotmail.com
2694,David Alvarez,M,jessica64@hotmail.com
7697,Susan Ortiz,F,nortonjennifer@gmail.com
1840,Autumn West,F,parkererik@gmail.com
4000,Christine Carter,F,rebeccahaynes@gmail.com
679,Dennis Gomez,M,zfuller@gmail.com
7319,Rachel Daniels,F,robertgibbs@yahoo.com
367,Donald Brown,M,medinamelissa@hotmail.com
5117,Parker Bender,M,zhuffman@yahoo.com
7641,Madison Noble,F,sally06@gmail.com
1228,Christopher Mendez,M,juanmiller@hotmail.com
4839,Andrew Johnson,M,ucarter@gmail.com
1963,Kelly Woods,F,smithgabrielle@gmail.com
4116,Joshua Vasquez,M,bennetttina@gmail.com
3496,Kelly Thompson,F,vancepenny@hotmail.com
9102,David Caldwell,M,cody54@hotmail.com
4908,Adrian Koch,M,pjenkins@gmail.com
1763,Joshua Arnold,M,youngcatherine@gmail.com
